"Position","Member Name","Website Link","Logo Image"
1,"361 Energy","http://www.361energy.org","https://communityenergyengland.org/files/img_cache/2851/340_260_1738335938_361-Energy-CIC-Logo-High-Res-May-15-1-e1679913817980.jpg?1738335947"
2,"Abbotts Ann Community Land Trust","https://aaclt.abbottsann.com/","https://communityenergyengland.org/files/img_cache/2563/340_260_1710184769_AbbottAnnScreenshot2024-03-11191149.png?1710184786"
3,"Acocks Greener","https://www.facebook.com/groups/acocksgreener/","https://communityenergyengland.org/files/img_cache/2161/340_260_1675174779_Acocksgreener.png?1675176047"
4,,,"https://communityenergyengland.org/files/img_cache/340_260_no-image.png?1709144622"
5,"Aldgate Solar Power","https://www.repowering.org.uk/aldgate-solar-power/","https://communityenergyengland.org/files/img_cache/340_260_no-image.png?1709144622"
6,"Allgreen Energy","http://www.allgreenergy.org/","https://communityenergyengland.org/files/img_cache/2300/340_260_1679990833_AllgreenEnergy.jpg?1679990839"
7,"Alwoodley Community Energy","https://alwoodleycommunityenergy.co.uk/","https://communityenergyengland.org/files/img_cache/2839/340_260_1737723002_AlwoodyCE.png?1737724193"
8,"Archenfield Community Environment Group","https://www.facebook.com/groups/2002263053275608/","https://communityenergyengland.org/files/img_cache/2570/340_260_1711470997_Archenfield-Leaf-Logo-SageBack-CMYK.png?1711480122"
9,"Ashford Borough Council","https://www.ashford.gov.uk/","https://communityenergyengland.org/files/img_cache/2802/340_260_1733143762_AshfordBoroughCouncil.png?1733143767"
10,"Ashton Hayes Community Energy","http://goingcarbonneutral.co.uk","https://communityenergyengland.org/files/img_cache/1927/340_260_1668594991_AshtonHayesCarbonNeutral.jpg?1668595236"
11,"Ashwell Parish Council","http://www.ashwell.gov.uk/","https://communityenergyengland.org/files/img_cache/2512/340_260_1701777668_Ashwellparish.png?1701777675"
12,"Association for Decentralised Energy","https://www.theade.co.uk/","https://communityenergyengland.org/files/img_cache/340_260_no-image.png?1709144622"
13,"Avalon Community Energy Ltd","https://avaloncommunityenergy.org.uk/","https://communityenergyengland.org/files/img_cache/1928/340_260_1678367480_AvalonCommunityEnergyupdated.png?1678367500"
14,"Awel Aman Tawe","http://awelamantawe.org.uk/","https://communityenergyengland.org/files/img_cache/2407/340_260_1689165493_AwelAmanTawe.png?1689171315"
15,"Banister House Solar","https://www.repowering.org.uk/wp-content/uploads/2020/05/Banister1pgReport_2015.pdf","https://communityenergyengland.org/files/img_cache/2593/340_260_1713529660_Repowering.png?1713535264"
16,"Basingstoke Energy Co-op","http://bes.coop","https://communityenergyengland.org/files/img_cache/1929/340_260_1668595169_Basingstokecoop.png?1668602374"
17,"Bath and West Community Energy","http://bwce.coop","https://communityenergyengland.org/files/img_cache/2066/340_260_1671551386_BWCE.png?1671551437"
18,"Baywind Energy Co-operative","http://baywind.co.uk","https://communityenergyengland.org/files/img_cache/2067/340_260_1671551424_Baywind.png?1671551437"
